"","date","All"
"1","2016-01",360
"2","2016-02",352
"3","2016-03",338
"4","2016-04",203
"5","2016-05",278
"6","2016-06",226
"7","2016-07",286
"8","2016-08",221
"9","2016-09",217
"10","2016-10",317
"11","2016-11",132
"12","2016-12",92
"13","2017-01",153
"14","2017-02",112
"15","2017-03",109
"16","2017-04",105
"17","2017-05",113
"18","2017-06",149
"19","2017-07",180
"20","2017-08",178
"21","2017-09",215
"22","2017-10",201
"23","2017-11",208
"24","2017-12",155
"25","2018-01",115
"26","2018-02",142
"27","2018-03",132
"28","2018-04",205
"29","2018-05",209
"30","2018-06",308
"31","2018-07",260
"32","2018-08",292
"33","2018-09",259
"34","2018-10",273
"35","2018-11",268
"36","2018-12",235
