"","date","Democrat","Republican","All"
"1","2016-01",31,74,105
"2","2016-02",18,118,136
"3","2016-03",24,96,120
"4","2016-04",13,27,40
"5","2016-05",83,21,104
"6","2016-06",68,14,82
"7","2016-07",136,27,163
"8","2016-08",49,11,60
"9","2016-09",54,14,68
"10","2016-10",96,30,126
"11","2016-11",22,10,32
"12","2016-12",13,9,22
"13","2017-01",20,17,37
"14","2017-02",17,9,26
"15","2017-03",17,10,27
"16","2017-04",17,6,23
"17","2017-05",17,11,28
"18","2017-06",24,19,43
"19","2017-07",26,19,45
"20","2017-08",10,16,26
"21","2017-09",18,21,39
"22","2017-10",25,21,46
"23","2017-11",26,19,45
"24","2017-12",30,14,44
"25","2018-01",33,9,42
"26","2018-02",41,26,67
"27","2018-03",19,11,30
"28","2018-04",33,18,51
"29","2018-05",37,8,45
"30","2018-06",81,36,117
"31","2018-07",51,25,76
"32","2018-08",56,42,98
"33","2018-09",52,30,82
"34","2018-10",42,27,69
"35","2018-11",41,40,81
"36","2018-12",68,33,101
